coexist,elev,catcharea,lakearea,maxdepth,temp
0,-0.182415865,-0.292135253,-0.18800548,-0.338502319,0.731225975
0,-1.017378707,-0.285151303,-0.173228806,-0.038553552,1.359630752
0,-0.312598244,-0.291788494,-0.188026219,-0.70940671,-0.133330916
0,0.508897455,-0.292671646,-0.188279969,-0.564270209,0.098818619
0,-0.864751091,-0.289539976,-0.18648054,-0.403007431,1.047429652
0,-0.110591105,-0.291208755,-0.186932532,-0.277222464,0.427030032
0,-0.698656332,-0.292308633,-0.188577638,-0.441710498,-0.133330916
0,-0.927597757,-0.289924662,-0.18826899,-0.435259986,1.36363333
0,-0.833327758,-0.281223169,-0.182088711,-0.209492097,0.663182145
0,-0.590919191,-0.289724192,-0.187933503,-0.435259986,-0.133330916
0,-0.725590617,-0.287047643,-0.187083196,-0.628775321,1.123478638
1,1.541378389,-0.247988452,-0.186907523,-0.661027876,-0.797758897
1,-0.985955375,-0.260428444,-0.13542553,1.241872909,1.00740387
1,1.020648874,-0.283401252,-0.189146136,-0.741659265,-1.738364774
1,1.887035049,-0.292687901,-0.188188473,-0.499765098,-0.549599049
1,0.84557602,0.442143948,0.001758121,0.725832018,-0.537591314
1,0.598678406,-0.288109594,-0.185809566,-0.377205386,-1.674323522
1,-0.496649193,-0.218941937,-0.119932134,0.274296238,0.214893387
1,0.607656501,-0.203381111,-0.180441775,-0.628775321,-0.933846556
1,1.931925524,-0.260531388,-0.188804549,-0.693280432,-0.797758897
1,1.73889648,-0.241551731,-0.188493461,-0.532017654,-0.797758897
1,-0.563984906,-0.28840759,-0.179526811,0.596821795,0.691200193
1,0.396671267,-0.286744229,-0.180258782,-0.144986985,0.098818619
1,1.680538862,-0.239752917,-0.189018041,-0.628775321,-0.797758897
1,-0.891685376,-0.236339505,-0.064912279,1.145115242,0.979385823
1,-1.385480605,2.432477664,0.616675146,1.596651021,1.267571453
1,1.617692197,-0.287686981,-0.18648054,-0.661027876,-0.549599049
1,1.797254098,-0.264454103,-0.18648054,-0.499765098,-0.797758897
1,1.06553935,-0.283796774,-0.189101607,-0.741659265,-1.738364774
1,1.025137922,-0.29151217,-0.187090516,-0.661027876,-1.738364774
1,0.894955543,0.346432947,-0.097180021,0.145286016,-1.966511731
1,-0.44726967,-0.273253122,-0.127434842,0.854842241,0.214893387
